id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,ijazah_tertinggi,jumlah_kepsek_guru,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,< S1,2,ORANG,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,>= S1,11,ORANG,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,< S1,2,ORANG,2019
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,>= S1,42,ORANG,2019
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,< S1,5,ORANG,2019
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,>= S1,34,ORANG,2019
7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,< S1,5,ORANG,2019
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,>= S1,53,ORANG,2019
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,< S1,2,ORANG,2019
10,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,>= S1,21,ORANG,2019
11,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,< S1,0,ORANG,2019
12,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,>= S1,46,ORANG,2019
13,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,< S1,5,ORANG,2019
14,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,>= S1,150,ORANG,2019
15,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,< S1,6,ORANG,2019
16,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,>= S1,351,ORANG,2019
17,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,< S1,5,ORANG,2019
18,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,>= S1,118,ORANG,2019
19,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,< S1,7,ORANG,2019
20,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,>= S1,218,ORANG,2019
21,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,< S1,3,ORANG,2019
22,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,>= S1,41,ORANG,2019
23,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,< S1,4,ORANG,2019
24,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,>= S1,105,ORANG,2019
25,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,< S1,2,ORANG,2019
26,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,>= S1,111,ORANG,2019
27,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,< S1,4,ORANG,2019
28,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,>= S1,210,ORANG,2019
29,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,< S1,1,ORANG,2019
30,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,>= S1,50,ORANG,2019
31,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,< S1,4,ORANG,2019
32,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,>= S1,87,ORANG,2019
33,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,< S1,3,ORANG,2019
34,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,>= S1,38,ORANG,2019
35,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,< S1,4,ORANG,2019
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,>= S1,85,ORANG,2019
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,< S1,2,ORANG,2019
38,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,>= S1,56,ORANG,2019
39,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,< S1,2,ORANG,2019
40,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,>= S1,84,ORANG,2019
41,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,< S1,6,ORANG,2019
42,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,>= S1,99,ORANG,2019
43,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,< S1,11,ORANG,2019
